#ngenes Na N0 Nb B_t mu_sv sfs1_shape sfs1_mean sfs2_shape sfs2_mean
2926 1000 1411 879 67 5.94669e-09 17.6733 0.0506426 30.9162 0.0711835
#ngenes Na N0 Nb B_t mu_sv sfs1_shape sfs1_mean sfs2_shape sfs2_mean
2926 1000 19318 718 67 4.94606e-08 73.8801 0.0767896 1.9836 0.0504339
#ngenes Na N0 Nb B_t mu_sv sfs1_shape sfs1_mean sfs2_shape sfs2_mean
1023 1000 14945 91 67 2.74537e-08 8.47881 0.0782059 52.7017 0.0465485
#ngenes Na N0 Nb B_t mu_sv sfs1_shape sfs1_mean sfs2_shape sfs2_mean
197 1000 5096 520 67 4.62112e-08 29.6132 0.069204 22.9788 0.0737697
#ngenes Na N0 Nb B_t mu_sv sfs1_shape sfs1_mean sfs2_shape sfs2_mean
197 1000 7948 815 67 2.32954e-08 20.2608 0.0520355 47.9298 0.0993564
#ngenes Na N0 Nb B_t mu_sv sfs1_shape sfs1_mean sfs2_shape sfs2_mean
2680 1000 1657 776 67 3.38411e-08 65.5636 0.0801895 58.8728 0.0520361
#ngenes Na N0 Nb B_t mu_sv sfs1_shape sfs1_mean sfs2_shape sfs2_mean
2680 1000 1676 782 67 4.60209e-08 2.89908 0 24.3718 0
#ngenes Na N0 Nb B_t mu_sv sfs1_shape sfs1_mean sfs2_shape sfs2_mean
118 1000 11385 470 67 2.94119e-08 39.3831 0.0330442 88.3367 0.0808008
#ngenes Na N0 Nb B_t mu_sv sfs1_shape sfs1_mean sfs2_shape sfs2_mean
242 1000 2891 342 67 2.48961e-08 84.8034 0.0816327 4.22371 0.00604252
#ngenes Na N0 Nb B_t mu_sv sfs1_shape sfs1_mean sfs2_shape sfs2_mean
143 1000 1091 655 67 1.96915e-08 5.90981 0.0806368 58.8169 0.0699888
#ngenes Na N0 Nb B_t mu_sv sfs1_shape sfs1_mean sfs2_shape sfs2_mean
143 1000 8396 63 67 1.03194e-08 50.2979 0.0309677 55.9083 0.0805127
#ngenes Na N0 Nb B_t mu_sv sfs1_shape sfs1_mean sfs2_shape sfs2_mean
1769 1000 1914 792 67 1.11064e-08 60.0532 0.0350689 91.2328 0.0774148
#ngenes Na N0 Nb B_t mu_sv sfs1_shape sfs1_mean sfs2_shape sfs2_mean
1769 1000 3901 449 67 4.92016e-08 85.1462 0.0179554 16.2211 0.0184001
#ngenes Na N0 Nb B_t mu_sv sfs1_shape sfs1_mean sfs2_shape sfs2_mean
300 1000 3109 804 67 2.36296e-08 98.039 0 84.4285 0
#ngenes Na N0 Nb B_t mu_sv sfs1_shape sfs1_mean sfs2_shape sfs2_mean
106 1000 7826 199 67 3.00906e-08 45.7033 0.0182796 72.0247 0.00135899
#ngenes Na N0 Nb B_t mu_sv sfs1_shape sfs1_mean sfs2_shape sfs2_mean
197 1000 5930 785 67 8.24914e-09 81.2143 0.0370471 13.8456 0.0649739
#ngenes Na N0 Nb B_t mu_sv sfs1_shape sfs1_mean sfs2_shape sfs2_mean
281 1000 2523 995 67 2.54215e-08 19.3386 0.0794304 99.3737 0.0830689
#ngenes Na N0 Nb B_t mu_sv sfs1_shape sfs1_mean sfs2_shape sfs2_mean
281 1000 9483 418 67 1.56768e-08 85.8594 0.0877108 12.7407 0.0182872
#ngenes Na N0 Nb B_t mu_sv sfs1_shape sfs1_mean sfs2_shape sfs2_mean
300 1000 3665 116 67 4.45096e-08 43.8581 0 39.3613 0
#ngenes Na N0 Nb B_t mu_sv sfs1_shape sfs1_mean sfs2_shape sfs2_mean
300 1000 1630 279 67 2.82209e-08 2.33796 0 47.604 0
#ngenes Na N0 Nb B_t mu_sv sfs1_shape sfs1_mean sfs2_shape sfs2_mean
271 1000 12695 488 67 2.98409e-08 97.536 0.00289908 58.0044 0.0381534
#ngenes Na N0 Nb B_t mu_sv sfs1_shape sfs1_mean sfs2_shape sfs2_mean
271 1000 12984 396 67 2.40684e-08 81.8775 0.0591011 81.7014 0.0801895
#ngenes Na N0 Nb B_t mu_sv sfs1_shape sfs1_mean sfs2_shape sfs2_mean
965 1000 2746 258 67 7.1295e-10 90.3986 0.0461842 78.5682 0.0564038
#ngenes Na N0 Nb B_t mu_sv sfs1_shape sfs1_mean sfs2_shape sfs2_mean
994 1000 4083 635 67 1.31087e-09 81.9654 0.00879391 26.1778 0.0029516
#ngenes Na N0 Nb B_t mu_sv sfs1_shape sfs1_mean sfs2_shape sfs2_mean
994 1000 8591 370 67 2.81466e-08 81.7334 0.0949322 57.6947 0.036205
#ngenes Na N0 Nb B_t mu_sv sfs1_shape sfs1_mean sfs2_shape sfs2_mean
441 1000 10175 613 67 3.594e-08 68.451 0 50.94 0
#ngenes Na N0 Nb B_t mu_sv sfs1_shape sfs1_mean sfs2_shape sfs2_mean
441 1000 6647 684 67 3.8954e-08 60.0562 0.0998908 20.3167 0.0866844
#ngenes Na N0 Nb B_t mu_sv sfs1_shape sfs1_mean sfs2_shape sfs2_mean
189 1000 2377 397 67 4.17314e-08 56.0555 0.0365573 5.50204 0.00922685
#ngenes Na N0 Nb B_t mu_sv sfs1_shape sfs1_mean sfs2_shape sfs2_mean
283 1000 10717 948 67 3.70346e-08 57.9648 0.0484011 13.2959 0.031843
#ngenes Na N0 Nb B_t mu_sv sfs1_shape sfs1_mean sfs2_shape sfs2_mean
283 1000 17145 476 67 2.34117e-08 57.9635 0.0494831 60.8972 0.0341932
#ngenes Na N0 Nb B_t mu_sv sfs1_shape sfs1_mean sfs2_shape sfs2_mean
1959 1000 18748 745 67 9.5345e-09 31.7492 0 65.6835 0
#ngenes Na N0 Nb B_t mu_sv sfs1_shape sfs1_mean sfs2_shape sfs2_mean
1959 1000 9073 252 67 2.86132e-08 74.3142 0.0650647 18.4062 0.0369843
#ngenes Na N0 Nb B_t mu_sv sfs1_shape sfs1_mean sfs2_shape sfs2_mean
211 1000 2341 817 67 3.20036e-08 25.0208 0.025617 59.088 0.0496708
#ngenes Na N0 Nb B_t mu_sv sfs1_shape sfs1_mean sfs2_shape sfs2_mean
219 1000 2771 388 67 4.10133e-09 87.233 0.0254898 9.91457 0.0485272
#ngenes Na N0 Nb B_t mu_sv sfs1_shape sfs1_mean sfs2_shape sfs2_mean
2708 1000 1026 678 67 5.97516e-09 52.0057 0.0327904 25.4267 0.0146035
